OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,RMS,DATA_SOURCE
KUIPER-00073,2025-151E,2025-11-18T01:04:38.999971,14.80154779,.0012996,51.8999,76.7441,240.1378,33.3701,0,C,64820,322,1,.76573E-6,.58892E-7,0,0.250,Kuiper-E
KUIPER-00074,2025-151F,2025-11-17T22:04:34.999997,14.79938867,.0012465,51.9017,64.8294,257.5092,348.2965,0,C,64821,321,1,.16855E-3,.12896E-4,0,0.240,Kuiper-E
KUIPER-00075,2025-151G,2025-11-17T23:17:41.000006,15.40046349,.0004235,51.8760,44.3702,228.4238,58.3679,0,C,64822,321,1,.31681E-3,.12902E-3,0,0.274,Kuiper-E
KUIPER-00076,2025-151H,2025-11-18T00:19:26.999962,14.79949104,.0004256,51.9005,66.9115,248.4075,150.8906,0,C,64823,322,1,-.99854E-4,-.76323E-5,0,0.252,Kuiper-E
KUIPER-00077,2025-151J,2025-11-18T01:17:39.999984,14.79944819,.0006383,51.9019,71.7359,202.3351,81.0672,0,C,64824,322,1,-.14459E-3,-.11053E-4,0,0.253,Kuiper-E
KUIPER-00078,2025-151K,2025-11-17T21:04:06.999974,14.79943258,.0007181,51.9003,70.0116,273.8952,316.6753,0,C,64825,321,1,.44965E-3,.34378E-4,0,0.231,Kuiper-E
KUIPER-00079,2025-151L,2025-11-18T00:55:38.999971,14.74870425,.0011468,51.8996,74.1790,228.9896,45.2650,0,C,64826,322,1,-.1455E-2,-.98751E-4,0,0.470,Kuiper-E
KUIPER-00080,2025-151M,2025-11-18T00:56:05.999971,14.79964124,.0004954,51.8996,74.2911,245.7953,152.2570,0,C,64827,322,1,-.65077E-2,-.49704E-3,0,0.538,Kuiper-E
KUIPER-00082,2025-151N,2025-11-17T23:53:09.000038,14.79935260,.0004614,51.9022,61.9956,259.6413,13.1499,0,C,64828,321,1,.23989E-4,.18331E-5,0,0.248,Kuiper-E
KUIPER-00083,2025-151P,2025-11-17T23:39:09.999965,14.79932094,.0010395,51.9006,69.5356,232.9463,31.6053,0,C,64829,321,1,-.8948E-4,-.68419E-5,0,0.248,Kuiper-E
KUIPER-00084,2025-151Q,2025-11-18T01:03:22.000032,14.79992625,.0011443,51.8999,79.2645,200.6091,72.5157,0,C,64830,322,1,.33053E-4,.25316E-5,0,0.248,Kuiper-E
KUIPER-00085,2025-151R,2025-11-18T00:47:07.999958,14.79951759,.0007207,51.9038,61.8414,237.8481,54.7117,0,C,64831,322,1,-.13392E-3,-.1024E-4,0,0.253,Kuiper-E
KUIPER-00086,2025-151S,2025-11-18T00:59:36.000010,14.79923917,.0010853,51.9019,71.7883,226.4725,172.2665,0,C,64832,322,1,-.34846E-2,-.26625E-3,0,0.226,Kuiper-E
KUIPER-00087,2025-151T,2025-11-18T00:59:08.000016,14.80125994,.0000452,51.9000,54.2964,248.1976,45.0574,0,C,64833,322,1,-.22964E-1,-.17551E-2,0,3.077,Kuiper-E
KUIPER-00089,2025-151U,2025-11-17T22:44:06.000029,14.76752464,.0000981,51.9014,59.5576,304.9495,315.2123,0,C,64834,321,1,-.90301E-2,-.63893E-3,0,1.389,Kuiper-E
KUIPER-00090,2025-151V,2025-11-17T22:13:07.000003,14.97351210,.0003953,51.8985,51.9774,323.5421,299.0416,0,C,64835,321,1,-.8523E-1,-.97769E-2,0,0.825,Kuiper-E
KUIPER-00091,2025-151W,2025-11-18T00:55:07.000003,14.79892746,.0007367,51.9010,56.8150,283.8028,9.3677,0,C,64836,322,1,.45644E-2,.34881E-3,0,0.327,Kuiper-E
KUIPER-00092,2025-151X,2025-11-17T22:55:43.999968,14.78025425,.0006278,51.9015,64.6662,223.7331,35.6336,0,C,64837,321,1,.13157E+0,.98353E-2,0,1.710,Kuiper-E
KUIPER-00093,2025-151Y,2025-11-18T00:34:36.000019,14.79922496,.0013538,51.9000,66.8623,237.4755,37.5665,0,C,64838,322,1,-.53712E-4,-.41087E-5,0,0.252,Kuiper-E
KUIPER-00094,2025-151Z,2025-11-17T23:57:09.999965,15.04134137,.0004995,51.8909,56.0143,263.4206,25.9211,0,C,64839,321,1,.10965E-3,.15417E-4,0,0.260,Kuiper-E
KUIPER-00081,2025-171A,2025-11-18T01:32:09.000038,15.26266989,.0003676,51.8796,288.8502,108.6751,304.7035,0,C,65132,322,1,-.46351E-2,-.12167E-2,0,2.312,Kuiper-E
KUIPER-00088,2025-171B,2025-11-18T00:35:34.999987,14.84150351,.0008535,51.8984,299.2514,106.9743,37.8974,0,C,65133,322,1,-.2163E-3,-.18298E-4,0,0.246,Kuiper-E
KUIPER-00095,2025-171C,2025-11-17T21:25:01.999978,15.22940244,.000454,51.8794,290.5308,115.3140,333.4441,0,C,65134,321,1,-.28155E-1,-.65863E-2,0,1.130,Kuiper-E
KUIPER-00096,2025-171D,2025-11-18T00:56:37.000032,14.99911659,.0011468,51.8898,292.8544,128.8414,357.2351,0,C,65135,322,1,-.52999E-1,-.65587E-2,0,2.454,Kuiper-E
KUIPER-00097,2025-171E,2025-11-17T23:09:38.999981,14.93235774,.0010975,51.8958,295.3169,129.2770,248.6528,0,C,65136,321,1,-.16811E-2,-.17813E-3,0,0.394,Kuiper-E
KUIPER-00098,2025-171F,2025-11-18T01:21:38.000016,14.84342294,.0008239,51.8978,296.7552,127.8791,279.1180,0,C,65137,322,1,-.12792E+0,-.10596E-1,0,0.956,Kuiper-E
KUIPER-00099,2025-171G,2025-11-18T00:53:38.999962,15.16258515,.0007244,51.8893,290.6378,125.6187,72.5722,0,C,65138,322,1,-.83252E-2,-.16285E-2,0,1.735,Kuiper-E
KUIPER-00100,2025-171H,2025-11-17T21:14:51.999994,15.22545335,.000356,51.8825,290.5613,100.0091,356.3430,0,C,65139,321,1,-.2425E-1,-.56226E-2,0,1.252,Kuiper-E
KUIPER-00102,2025-171J,2025-11-17T22:05:40.000013,15.16560948,.0009542,51.8865,291.1761,116.3518,103.6661,0,C,65140,321,1,-.16552E-1,-.32523E-2,0,1.414,Kuiper-E
