OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,RMS,DATA_SOURCE
KUIPER-00158,2025-217Q,2025-11-18T00:12:39.999974,15.22147555,.0004558,51.8739,185.0080,241.2360,242.1806,0,C,65776,322,1,-.64272E-3,-.1497E-3,0,0.757,Kuiper-E
KUIPER-00163,2025-217R,2025-11-17T20:45:52.999978,15.16078733,.000959,51.8692,186.5465,304.4250,344.3292,0,C,65777,321,1,-.1135E-1,-.22063E-2,0,2.687,Kuiper-E
KUIPER-00165,2025-217S,2025-11-17T22:57:08.000035,15.37743957,.0003749,51.8684,184.2317,242.2265,72.8818,0,C,65778,321,1,.42558E-3,.16073E-3,0,0.251,Kuiper-E
KUIPER-00166,2025-217T,2025-11-17T22:44:38.999990,15.37777371,.0003196,51.8699,184.1850,214.5450,97.6210,0,C,65779,321,1,.4105E-3,.15519E-3,0,0.251,Kuiper-E
KUIPER-00167,2025-217U,2025-11-17T20:35:02.999990,15.21734694,.0008999,51.8736,185.7965,257.8231,29.7402,0,C,65780,321,1,-.15202E-1,-.34669E-2,0,2.844,Kuiper-E
KUIPER-00168,2025-217V,2025-11-17T20:30:37.999958,15.38563340,.0003072,51.8702,184.3648,162.8485,127.6858,0,C,65781,321,1,-.10152E-2,-.39306E-3,0,0.278,Kuiper-E
KUIPER-00169,2025-217W,2025-11-17T22:45:31.999997,15.37904218,.0002871,51.8704,184.1963,227.9492,81.1926,0,C,65782,321,1,.41342E-3,.15694E-3,0,0.251,Kuiper-E
KUIPER-00170,2025-217X,2025-11-17T22:01:07.000032,15.36514200,.0005875,51.8647,184.7176,267.2785,39.8850,0,C,65783,321,1,.32597E-3,.11833E-3,0,0.256,Kuiper-E
KUIPER-00171,2025-217Y,2025-11-17T23:36:27.999965,15.63214945,.0007757,51.8579,181.4373,268.3753,49.8969,0,C,65784,321,1,.47268E-3,.44364E-3,0,0.264,Kuiper-E
KUIPER-00172,2025-217Z,2025-11-17T22:24:09.000000,15.38255251,.0002754,51.8707,184.1075,221.2731,84.9002,0,C,65785,321,1,.37185E-3,.14277E-3,0,0.250,Kuiper-E
KUIPER-00173,2025-217AA,2025-11-17T22:36:09.999965,15.37952783,.0002889,51.8694,184.1560,213.0590,94.2946,0,C,65786,321,1,.39529E-3,.15029E-3,0,0.250,Kuiper-E
KUIPER-00174,2025-217AB,2025-11-17T22:16:07.999968,15.38293576,.0003481,51.8705,184.0643,177.0377,131.8751,0,C,65787,321,1,.35786E-3,.13758E-3,0,0.252,Kuiper-E
KUIPER-00176,2025-217AC,2025-11-17T20:20:51.000000,15.26329094,.0002729,51.8758,184.9456,227.5891,96.0948,0,C,65788,321,1,-.68965E-2,-.18104E-2,0,2.371,Kuiper-E
KUIPER-00101,2025-228A,2025-11-18T01:41:40.000013,15.23338993,.0005345,51.8843,139.9944,271.7662,322.9222,0,C,65947,322,1,-.1342E-1,-.32088E-2,0,1.362,Kuiper-E
KUIPER-00113,2025-228B,2025-11-17T20:46:39.000029,15.33528741,.0006218,51.8788,140.3370,252.8708,224.2503,0,C,65948,321,1,-.11199E-1,-.36523E-2,0,1.903,Kuiper-E
KUIPER-00117,2025-228C,2025-11-18T00:50:38.999990,15.28176990,.0007722,51.8790,139.7214,267.3073,318.3128,0,C,65949,322,1,-.21956E-1,-.6023E-2,0,2.695,Kuiper-E
KUIPER-00121,2025-228D,2025-11-18T00:38:38.000026,15.35016133,.0005191,51.8773,139.7285,278.2690,294.8080,0,C,65950,322,1,.44025E-3,.15231E-3,0,0.248,Kuiper-E
KUIPER-00122,2025-228E,2025-11-17T23:52:11.999971,15.17346749,.0005615,51.8820,141.0501,295.5715,270.0069,0,C,65951,321,1,-.89631E-3,-.18156E-3,0,0.764,Kuiper-E
KUIPER-00123,2025-228F,2025-11-17T20:35:09.000038,15.16576164,.0005918,51.8858,141.7007,280.2108,193.2147,0,C,65952,321,1,-.15819E-1,-.31086E-2,0,3.011,Kuiper-E
KUIPER-00124,2025-228G,2025-11-18T00:48:36.999994,15.34525144,.0004448,51.8768,139.7462,292.5951,292.2476,0,C,65953,322,1,.42213E-3,.14376E-3,0,0.249,Kuiper-E
KUIPER-00125,2025-228H,2025-11-17T22:54:36.999965,15.35317901,.0005422,51.8762,139.9999,268.8618,297.5217,0,C,65954,321,1,.5024E-3,.17552E-3,0,0.250,Kuiper-E
